Account Number,Owner,New Owner,,,,,,,,,,,,,
A10484,25,26,,,,,,,,,,,,,
A10465,25,26,,,,,,,,,,,,,
A10363,18,19,,,,,,,,,,,,,
A10413,18,19,,,,,,,,,,,,,
A10532,29,29,,,,,,,,,,,,,
A10475,21,22,,,,,,,,,,,,,
A10527,22,23,,,,,,,,,,,,,
A10557,25,26,,,,,,,,,,,,,
A10350,15,16,,,,,,,,,,,,,
A10628,15,16,,,,,,,,,,,,,
A10512,23,24,,,,,,,,,,,,,
A10506,23,24,,,,,,,,,,,,,
A10472,5,7,,,,,,,,,,,,,
A10751,22,23,,,,,,,,,,,,,
A10455,29,29,,,,,,,,,,,,,
A10551,23,24,,,,,,,,,,,,,
A10273,25,26,,,,,,,,,,,,,
A10372,25,26,,,,,,,,,,,,,
A10682,29,29,,,,,,,,,,,,,
A10243,23,24,,,,,,,,,,,,,
A10544,23,24,,,,,,,,,,,,,
A10488,22,23,,,,,,,,,,,,,
A10375,9,11,,,,,,,,,,,,,
A10644,25,26,,,,,,,,,,,,,
A10146,25,26,,,,,,,,,,,,,
A10533,29,29,,,,,,,,,,,,,
A10393,18,19,,,,,,,,,,,,,
A10344,29,29,,,,,,,,,,,,,
A10389,29,29,,,,,,,,,,,,,
A10391,29,29,,,,,,,,,,,,,
A10709,9,11,,,,,,,,,,,,,
A10403,25,26,,,,,,,,,,,,,
A10801,7,9,,,,,,,,,,,,,
A10663,9,11,,,,,,,,,,,,,
A10308,23,24,,,,,,,,,,,,,
A10470,9,11,,,,,,,,,,,,,
A10400,25,26,,,,,,,,,,,,,
A10354,5,7,,,,,,,,,,,,,
A10409,29,29,,,,,,,,,,,,,
A10744,23,24,,,,,,,,,,,,,
A10474,5,7,,,,,,,,,,,,,
A10232,23,24,,,,,,,,,,,,,
A10314,7,9,,,,,,,,,,,,,
A10491,18,19,,,,,,,,,,,,,
A10437,25,26,,,,,,,,,,,,,
A10701,15,16,,,,,,,,,,,,,
A10186,25,26,,,,,,,,,,,,,
A10418,25,26,,,,,,,,,,,,,
A10667,25,26,,,,,,,,,,,,,
A10202,25,26,,,,,,,,,,,,,
A10686,23,24,,,,,,,,,,,,,
A10377,18,19,,,,,,,,,,,,,
A10505,25,26,,,,,,,,,,,,,
A10357,23,24,,,,,,,,,,,,,
A10015,9,11,,,,,,,,,,,,,
A10676,9,11,,,,,,,,,,,,,
A10683,29,29,,,,,,,,,,,,,
A10535,29,29,,,,,,,,,,,,,
A10401,25,26,,,,,,,,,,,,,
A10558,25,26,,,,,,,,,,,,,
A10753,9,11,,,,,,,,,,,,,
A10055,9,11,,,,,,,,,,,,,
A10316,9,11,,,,,,,,,,,,,
A10441,9,11,,,,,,,,,,,,,
A10292,9,11,,,,,,,,,,,,,
A10400,22,23,,,,,,,,,,,,,
A10393,23,24,,,,,,,,,,,,,
A10281,23,24,,,,,,,,,,,,,
A10018,9,11,,,,,,,,,,,,,
A10554,25,26,,,,,,,,,,,,,
A10324,9,11,,,,,,,,,,,,,
A10732,7,9,,,,,,,,,,,,,
A10478,23,24,,,,,,,,,,,,,
A10065,9,11,,,,,,,,,,,,,
A10498,29,29,,,,,,,,,,,,,
A10610,29,29,,,,,,,,,,,,,
A10345,29,29,,,,,,,,,,,,,
A10444,29,29,,,,,,,,,,,,,
A10221,23,24,,,,,,,,,,,,,
A10340,9,11,,,,,,,,,,,,,
A10339,25,26,,,,,,,,,,,,,
A10566,25,26,,,,,,,,,,,,,
